number,state,value,datetime_start,datetime_complete,activation,filters,kernel_size,strides,_Datetime_epoch_begin,_Datetime_epoch_end,_Trial_num,acc,loss,val_acc,val_loss,system_attrs__number
0,TrialState.COMPLETE,0.9622999998092652,2019-05-10 07:32:28.285536,2019-05-10 07:32:30.462682,relu,64,5,2,2019-05-10 07:32:29.699403,2019-05-10 07:32:30.322589,0,0.9460999999682108,0.19161555195649466,0.9622999998092652,0.1412955320596695,0
1,TrialState.COMPLETE,0.9217999994277954,2019-05-10 07:32:30.463029,2019-05-10 07:32:32.696748,linear,32,3,1,2019-05-10 07:32:31.764485,2019-05-10 07:32:32.542477,1,0.9185166666348775,0.2881767072041829,0.9217999994277954,0.280231893157959,1
2,TrialState.COMPLETE,0.9190000005722045,2019-05-10 07:32:32.697248,2019-05-10 07:32:34.851542,linear,32,5,1,2019-05-10 07:32:33.977338,2019-05-10 07:32:34.699587,2,0.9152,0.29836474831899007,0.9190000005722045,0.28074784526824953,2
3,TrialState.COMPLETE,0.9626999997138977,2019-05-10 07:32:34.852162,2019-05-10 07:32:36.761632,relu,64,5,2,2019-05-10 07:32:35.994912,2019-05-10 07:32:36.608068,3,0.9467000000317891,0.19146286454995473,0.9626999997138977,0.1348389750480652,3
4,TrialState.COMPLETE,0.9183999994277954,2019-05-10 07:32:36.762401,2019-05-10 07:32:38.545835,linear,32,3,2,2019-05-10 07:32:37.843483,2019-05-10 07:32:38.390899,4,0.91045,0.312714085316658,0.9183999994277954,0.28847667307853697,4
5,TrialState.COMPLETE,0.9411000001907348,2019-05-10 07:32:38.546743,2019-05-10 07:32:40.476039,relu,64,3,2,2019-05-10 07:32:39.707064,2019-05-10 07:32:40.328455,5,0.9280166666348775,0.25610253609021505,0.9411000001907348,0.2101450632572174,5
6,TrialState.COMPLETE,0.9455000003814698,2019-05-10 07:32:40.476889,2019-05-10 07:32:42.327464,relu,64,3,2,2019-05-10 07:32:41.563128,2019-05-10 07:32:42.174100,6,0.9323499999682109,0.24207608477274578,0.9455000003814698,0.19712468299865724,6
7,TrialState.COMPLETE,0.9440000002861023,2019-05-10 07:32:42.328483,2019-05-10 07:32:44.175280,relu,64,3,2,2019-05-10 07:32:43.411859,2019-05-10 07:32:44.024492,7,0.9303166666984558,0.24737674986521402,0.9440000002861023,0.19727851943969726,7
8,TrialState.COMPLETE,0.9660000000953675,2019-05-10 07:32:44.176403,2019-05-10 07:32:46.524457,relu,32,3,1,2019-05-10 07:32:45.514932,2019-05-10 07:32:46.373325,8,0.9543666666348776,0.16417057317097983,0.9660000000953675,0.12338917591571807,8
9,TrialState.COMPLETE,0.9338000000953675,2019-05-10 07:32:46.525700,2019-05-10 07:32:48.191690,relu,32,3,2,2019-05-10 07:32:47.530884,2019-05-10 07:32:48.043081,9,0.9207,0.27959801626205444,0.9338000000953675,0.2347653778553009,9
10,TrialState.COMPLETE,0.9658999999046326,2019-05-10 07:32:48.193026,2019-05-10 07:32:50.545974,relu,32,3,1,2019-05-10 07:32:49.526308,2019-05-10 07:32:50.389924,10,0.9498166666666666,0.17739421133200328,0.9658999999046326,0.12998494815826417,10
11,TrialState.COMPLETE,0.9735000004768372,2019-05-10 07:32:50.547463,2019-05-10 07:32:52.738282,relu,32,5,1,2019-05-10 07:32:51.798729,2019-05-10 07:32:52.582888,11,0.9618,0.13854341454903285,0.9735000004768372,0.09514941809177399,11
12,TrialState.COMPLETE,0.9163999992370605,2019-05-10 07:32:52.739868,2019-05-10 07:32:54.693579,linear,32,5,1,2019-05-10 07:32:53.888570,2019-05-10 07:32:54.562697,12,0.9157833333015442,0.2968145876566569,0.9163999992370605,0.2895274845123291,12
13,TrialState.COMPLETE,0.9745000004768372,2019-05-10 07:32:54.695438,2019-05-10 07:32:56.882625,relu,32,5,1,2019-05-10 07:32:55.951048,2019-05-10 07:32:56.730100,13,0.9624499999682109,0.1332015169262886,0.9745000004768372,0.08995019536018371,13
14,TrialState.COMPLETE,0.9739000003814697,2019-05-10 07:32:56.884409,2019-05-10 07:32:59.068424,relu,32,5,1,2019-05-10 07:32:58.142292,2019-05-10 07:32:58.917481,14,0.9659166666984558,0.12260074504216512,0.9739000003814697,0.09304187316894531,14
15,TrialState.COMPLETE,0.9195999998092651,2019-05-10 07:32:59.070331,2019-05-10 07:33:01.053091,linear,32,5,1,2019-05-10 07:33:00.223549,2019-05-10 07:33:00.897945,15,0.9170333333333334,0.2937474855581919,0.9195999998092651,0.2834109507083893,15
16,TrialState.COMPLETE,0.9732000004768372,2019-05-10 07:33:01.055136,2019-05-10 07:33:03.258011,relu,32,5,1,2019-05-10 07:33:02.322588,2019-05-10 07:33:03.101495,16,0.9610166666984558,0.13776770873268446,0.9732000004768372,0.09705091741085052,16
17,TrialState.COMPLETE,0.9748000002861023,2019-05-10 07:33:03.260142,2019-05-10 07:33:05.452356,relu,32,5,1,2019-05-10 07:33:04.522189,2019-05-10 07:33:05.301050,17,0.9651166666348775,0.12722261728445688,0.9748000002861023,0.08732032172679902,17
18,TrialState.COMPLETE,0.9722000002861023,2019-05-10 07:33:05.454620,2019-05-10 07:33:07.655464,relu,32,5,1,2019-05-10 07:33:06.727348,2019-05-10 07:33:07.502904,18,0.9645333333015442,0.12742138653198878,0.9722000002861023,0.09569995589256286,18
19,TrialState.COMPLETE,0.9751000003814697,2019-05-10 07:33:07.657837,2019-05-10 07:33:09.859126,relu,32,5,1,2019-05-10 07:33:08.930147,2019-05-10 07:33:09.702139,19,0.9642833333333334,0.12759385732014975,0.9751000003814697,0.08657872290611267,19
20,TrialState.COMPLETE,0.9740000001907348,2019-05-10 07:33:09.861621,2019-05-10 07:33:12.065296,relu,32,5,1,2019-05-10 07:33:11.129160,2019-05-10 07:33:11.911958,20,0.9646833333651225,0.12669043527841567,0.9740000001907348,0.09170472733974457,20
