trial_id,state,value,datetime_start,datetime_complete,activation,filters,kernel_size,strides,_Datetime_epoch_begin,_Datetime_epoch_end,_Monitor,_Trial_id,acc,error,loss,val_acc,val_error,val_loss,intermediate_values_0,intermediate_values_1
0,TrialState.COMPLETE,0.028599999523162833,2019-02-24 09:33:25.983198,2019-02-24 09:33:31.770468,relu,64,3,1,2019-02-24 09:33:29.181632,2019-02-24 09:33:31.719797,val_error,0,0.9615833333333333,0.038416666666666655,0.13905323724548022,0.9714000004768372,0.028599999523162833,0.1008309198141098,0.048299999523162884,0.028599999523162833
1,TrialState.COMPLETE,0.03540000038146973,2019-02-24 09:33:31.779430,2019-02-24 09:33:34.323643,relu,64,5,2,2019-02-24 09:33:33.346031,2019-02-24 09:33:34.285096,val_error,1,0.9474333333015442,0.05256666669845578,0.18585977823734284,0.9645999996185303,0.03540000038146973,0.1311148423910141,0.06580000009536746,0.03540000038146973
2,TrialState.COMPLETE,0.08099999942779545,2019-02-24 09:33:34.330361,2019-02-24 09:33:39.775546,linear,64,3,1,2019-02-24 09:33:37.464977,2019-02-24 09:33:39.722705,val_error,2,0.9171999999682109,0.08280000003178911,0.2911097318649292,0.9190000005722045,0.08099999942779545,0.2817577816963196,0.08289999952316285,0.08099999942779545
3,TrialState.COMPLETE,0.07710000057220456,2019-02-24 09:33:39.779132,2019-02-24 09:33:41.998018,relu,32,3,2,2019-02-24 09:33:41.186932,2019-02-24 09:33:41.962810,val_error,3,0.9140999999682109,0.0859000000317891,0.30091574453512826,0.9228999994277954,0.07710000057220456,0.2725605707645416,0.08769999942779538,0.07710000057220456
4,TrialState.COMPLETE,0.07760000047683713,2019-02-24 09:33:42.006869,2019-02-24 09:33:45.395862,linear,32,3,1,2019-02-24 09:33:44.015068,2019-02-24 09:33:45.353851,val_error,4,0.9169166666984558,0.08308333330154416,0.29176761780579885,0.9223999995231629,0.07760000047683713,0.2790270236492157,0.08689999952316285,0.07760000047683713
5,TrialState.COMPLETE,0.08219999923706056,2019-02-24 09:33:45.399342,2019-02-24 09:33:47.493447,linear,32,5,2,2019-02-24 09:33:46.747524,2019-02-24 09:33:47.456465,val_error,5,0.9110166666984558,0.08898333330154418,0.3112765453338623,0.9178000007629394,0.08219999923706056,0.28622674021720884,0.08780000047683711,0.08219999923706056
6,TrialState.COMPLETE,0.035699999999999954,2019-02-24 09:33:47.502002,2019-02-24 09:33:51.249168,relu,32,3,1,2019-02-24 09:33:49.690385,2019-02-24 09:33:51.205635,val_error,6,0.9529166666984558,0.04708333330154424,0.16935409526824952,0.9643,0.035699999999999954,0.12617061929702758,0.059299999713897655,0.035699999999999954
7,TrialState.COMPLETE,0.03139999980926511,2019-02-24 09:33:51.258496,2019-02-24 09:33:55.012169,relu,32,5,1,2019-02-24 09:33:53.524459,2019-02-24 09:33:54.968702,val_error,7,0.9555499999682109,0.044450000031789116,0.1595229703585307,0.9686000001907349,0.03139999980926511,0.11159779391288757,0.05689999961853032,0.03139999980926511
8,TrialState.PRUNED,0.06380000038146971,2019-02-24 09:33:55.021854,2019-02-24 09:33:57.176253,relu,32,3,1,2019-02-24 09:33:55.380264,2019-02-24 09:33:57.096791,val_error,8,0.8793666666984558,0.12063333330154424,0.4540621994018555,0.9361999996185303,0.06380000038146971,0.22716950464248659,0.06380000038146971,
9,TrialState.PRUNED,0.08449999933242802,2019-02-24 09:33:57.178667,2019-02-24 09:33:58.580600,relu,32,3,2,2019-02-24 09:33:57.532069,2019-02-24 09:33:58.505991,val_error,9,0.83495,0.16505000000000003,0.7055617549419403,0.915500000667572,0.08449999933242802,0.3034244445800781,0.08449999933242802,
