trial_id,state,value,datetime_start,datetime_complete,Batch_size,Conv,Conv_1_dropout_rate,Conv_1_kernel_size,Conv_1_max_pooling_size,Conv_1_num_filters,Data_augmentation,FC_1_acivation,FC_1_batch_normalization,FC_1_dropout_rate,FC_1_num_hidden_units,FC_2_acivation,FC_2_batch_normalization,FC_2_dropout_rate,FC_2_num_hidden_units,Optimizer,_Datetime_epoch_begin,_Datetime_epoch_end,_Monitor,_Trial_id,acc,error,loss,val_acc,val_error,val_loss,system_attrs_completed_rung_0,system_attrs_completed_rung_1,intermediate_values_0,intermediate_values_1,intermediate_values_2,intermediate_values_3,intermediate_values_4,intermediate_values_5,intermediate_values_6,intermediate_values_7,intermediate_values_8,intermediate_values_9
1,TrialState.COMPLETE,0.012700000000000045,2019-02-24 09:35:14.695532,2019-02-24 09:35:51.514608,256,1,0.5,2.0,2.0,32.0,0,relu,0,0.0,256.0,relu,1,0.0,256.0,Adam,2019-02-24 09:35:48.169583,2019-02-24 09:35:51.276585,val_error,1,0.9948333333333333,0.005166666666666653,0.015309424701333046,0.9873,0.012700000000000045,0.04082451624832465,0.017100000000000004,0.014900000000000024,0.0262,0.017100000000000004,0.015100000000000002,0.01419999999999999,0.014900000000000024,0.012700000000000045,0.012700000000000045,0.011199999999999988,0.013599999999999945,0.012700000000000045
2,TrialState.PRUNED,0.028000000000000025,2019-02-24 09:35:51.549683,2019-02-24 09:36:28.213672,256,0,,,,,1,relu,1,0.0,512.0,relu,1,0.0,256.0,Adam,2019-02-24 09:36:11.038083,2019-02-24 09:36:27.312773,val_error,2,0.9672268345257657,0.032773165474234256,0.10813414895269535,0.972,0.028000000000000025,0.08741166763864458,0.028000000000000025,,0.035699999999999954,0.028000000000000025,,,,,,,,
3,TrialState.PRUNED,0.03069999999999995,2019-02-24 09:36:28.232243,2019-02-24 09:36:34.286224,256,0,,,,,0,relu,1,0.0,256.0,relu,0,0.25,256.0,Adam,2019-02-24 09:36:32.305968,2019-02-24 09:36:33.935831,val_error,3,0.96655,0.03344999999999998,0.10967566207647324,0.9693,0.03069999999999995,0.09902074579447508,0.03069999999999995,,0.03710000000000002,0.03069999999999995,,,,,,,,
4,TrialState.PRUNED,0.025699999999999945,2019-02-24 09:36:34.306324,2019-02-24 09:37:11.722880,256,0,,,,,1,relu,1,0.25,512.0,relu,1,0.25,256.0,Adam,2019-02-24 09:36:54.393691,2019-02-24 09:37:10.535847,val_error,4,0.9473252544507791,0.052674745549220914,0.1708220884395463,0.9743,0.025699999999999945,0.08326427398175001,0.025699999999999945,,0.04510000000000003,0.025699999999999945,,,,,,,,
5,TrialState.COMPLETE,0.010399999999999965,2019-02-24 09:37:11.743292,2019-02-24 09:37:57.329256,256,1,0.25,3.0,3.0,64.0,0,relu,1,0.25,512.0,relu,0,0.0,256.0,Adam,2019-02-24 09:37:53.210510,2019-02-24 09:37:57.090672,val_error,5,0.9963666666666666,0.0036333333333333773,0.01080390990137433,0.9896,0.010399999999999965,0.040239010967933066,0.012599999999999945,0.013700000000000045,0.023900000000000032,0.012599999999999945,0.010399999999999965,0.008600000000000052,0.013700000000000045,0.0121,0.010399999999999965,0.011600000000000055,0.010399999999999965,0.010399999999999965
6,TrialState.PRUNED,0.015499999999999958,2019-02-24 09:37:57.372254,2019-02-24 09:38:06.877549,256,1,0.25,3.0,3.0,32.0,0,relu,1,0.5,512.0,relu,0,0.25,512.0,Adam,2019-02-24 09:38:03.560521,2019-02-24 09:38:06.436042,val_error,6,0.9735499999682109,0.0264500000317891,0.08461718123753866,0.9845,0.015499999999999958,0.04660397329032421,0.015499999999999958,,0.019100000000000006,0.015499999999999958,,,,,,,,
7,TrialState.PRUNED,0.038900000000000046,2019-02-24 09:38:06.898377,2019-02-24 09:38:12.801525,256,0,,,,,0,relu,0,0.5,256.0,relu,1,0.5,256.0,Adam,2019-02-24 09:38:10.872430,2019-02-24 09:38:12.390105,val_error,7,0.9257833333333333,0.07421666666666671,0.25041047803560895,0.9611,0.038900000000000046,0.1267698006629944,0.038900000000000046,,0.05379999999999996,0.038900000000000046,,,,,,,,
8,TrialState.PRUNED,0.031000000000000028,2019-02-24 09:38:12.823941,2019-02-24 09:38:47.288842,256,0,,,,,1,relu,0,0.5,256.0,relu,0,0.25,512.0,Adam,2019-02-24 09:38:31.122623,2019-02-24 09:38:46.449988,val_error,8,0.9158409212959854,0.08415907870401462,0.27551336504267576,0.969,0.031000000000000028,0.09633242186307907,0.031000000000000028,,0.04520000000000002,0.031000000000000028,,,,,,,,
9,TrialState.PRUNED,0.025599999999999956,2019-02-24 09:38:47.311753,2019-02-24 09:39:22.920383,256,0,,,,,1,relu,1,0.25,512.0,relu,0,0.25,256.0,Adam,2019-02-24 09:39:06.274564,2019-02-24 09:39:21.990092,val_error,9,0.9448814944079297,0.05511850559207032,0.17966530833993932,0.9744,0.025599999999999956,0.08130642734318971,0.025599999999999956,,0.03480000000000005,0.025599999999999956,,,,,,,,
10,TrialState.PRUNED,0.03469999999999995,2019-02-24 09:39:22.943912,2019-02-24 09:39:29.292045,256,0,,,,,0,relu,1,0.5,256.0,relu,0,0.0,256.0,Adam,2019-02-24 09:39:27.278324,2019-02-24 09:39:28.877570,val_error,10,0.9425999999682109,0.05740000003178913,0.1908966764966647,0.9653,0.03469999999999995,0.11274717632532119,0.03469999999999995,,0.048900000000000055,0.03469999999999995,,,,,,,,
