trial_id,state,value,datetime_start,datetime_complete,activation,filters,kernel_size,strides,_Datetime_epoch_begin,_Datetime_epoch_end,_Monitor,_Trial_id,acc,error,loss,val_acc,val_error,val_loss
0,TrialState.COMPLETE,0.07829999923706055,2019-03-08 06:10:30.541164,2019-03-08 06:10:35.638037,linear,64,5,1,2019-03-08 06:10:33.567568,2019-03-08 06:10:35.611090,val_error,0,0.9176499999682108,0.08235000003178916,0.2942176916519801,0.9217000007629395,0.07829999923706055,0.27522820653915403
1,TrialState.COMPLETE,0.05369999933242797,2019-03-08 06:10:35.638591,2019-03-08 06:10:37.985077,relu,32,5,2,2019-03-08 06:10:37.190775,2019-03-08 06:10:37.963941,val_error,1,0.9317833333651224,0.06821666663487758,0.24184981177647907,0.946300000667572,0.05369999933242797,0.1920199326992035
2,TrialState.COMPLETE,0.043499999332427985,2019-03-08 06:10:37.985647,2019-03-08 06:10:40.884892,relu,64,5,2,2019-03-08 06:10:39.755490,2019-03-08 06:10:40.861909,val_error,2,0.9429166666984559,0.05708333330154414,0.20108715693950652,0.956500000667572,0.043499999332427985,0.15553081674575805
3,TrialState.COMPLETE,0.05949999952316287,2019-03-08 06:10:40.885549,2019-03-08 06:10:43.953312,relu,64,3,2,2019-03-08 06:10:42.754567,2019-03-08 06:10:43.929170,val_error,3,0.9278666666984559,0.07213333330154414,0.25451399374008177,0.9405000004768371,0.05949999952316287,0.2089760151386261
4,TrialState.COMPLETE,0.07970000066757199,2019-03-08 06:10:43.954416,2019-03-08 06:10:47.030848,linear,64,3,2,2019-03-08 06:10:45.836652,2019-03-08 06:10:47.005846,val_error,4,0.9135166666348775,0.08648333336512248,0.3028406631549199,0.920299999332428,0.07970000066757199,0.28320513572692874
5,TrialState.COMPLETE,0.08150000057220463,2019-03-08 06:10:47.032169,2019-03-08 06:10:49.872768,linear,32,5,2,2019-03-08 06:10:48.960318,2019-03-08 06:10:49.845399,val_error,5,0.9110833333651225,0.08891666663487752,0.30955904655456545,0.9184999994277954,0.08150000057220463,0.28290258846282956
6,TrialState.COMPLETE,0.03279999990463256,2019-03-08 06:10:49.874406,2019-03-08 06:10:54.102363,relu,32,3,1,2019-03-08 06:10:52.327407,2019-03-08 06:10:54.076750,val_error,6,0.9544166666984558,0.04558333330154418,0.16280518441994984,0.9672000000953674,0.03279999990463256,0.12088170926570892
7,TrialState.COMPLETE,0.06830000057220464,2019-03-08 06:10:54.104212,2019-03-08 06:10:56.584403,relu,32,3,2,2019-03-08 06:10:55.720013,2019-03-08 06:10:56.561575,val_error,7,0.9191833333333334,0.08081666666666665,0.28238406613667805,0.9316999994277954,0.06830000057220464,0.24325707130432128
8,TrialState.COMPLETE,0.02740000009536747,2019-03-08 06:10:56.585889,2019-03-08 06:11:00.406716,relu,32,5,1,2019-03-08 06:10:58.827688,2019-03-08 06:11:00.383296,val_error,8,0.9639999999682108,0.03600000003178916,0.12977284517288207,0.9725999999046325,0.02740000009536747,0.09229420897960663
9,TrialState.COMPLETE,0.05769999961853023,2019-03-08 06:11:00.408909,2019-03-08 06:11:03.155213,relu,32,5,2,2019-03-08 06:11:02.272604,2019-03-08 06:11:03.132161,val_error,9,0.9254499999682109,0.07455000003178913,0.26074742528597517,0.9423000003814698,0.05769999961853023,0.20714487924575806
10,TrialState.COMPLETE,0.025599999809265084,2019-03-08 06:11:03.156909,2019-03-08 06:11:07.068053,relu,32,5,1,2019-03-08 06:11:05.479129,2019-03-08 06:11:07.043103,val_error,10,0.9642666666666667,0.035733333333333284,0.12838585107326508,0.9744000001907349,0.025599999809265084,0.08754554800987244
11,TrialState.COMPLETE,0.080699999332428,2019-03-08 06:11:07.070468,2019-03-08 06:11:10.759382,linear,32,5,1,2019-03-08 06:11:09.270625,2019-03-08 06:11:10.734057,val_error,11,0.91605,0.08394999999999997,0.2974908895810445,0.919300000667572,0.080699999332428,0.29052733211517334
12,TrialState.COMPLETE,0.02569999942779544,2019-03-08 06:11:10.762001,2019-03-08 06:11:14.449362,relu,32,5,1,2019-03-08 06:11:12.963185,2019-03-08 06:11:14.426335,val_error,12,0.9617666666348775,0.03823333336512247,0.13583957144419354,0.9743000005722046,0.02569999942779544,0.09247017903327942
13,TrialState.COMPLETE,0.028799999904632556,2019-03-08 06:11:14.452235,2019-03-08 06:11:18.316849,relu,32,5,1,2019-03-08 06:11:16.738514,2019-03-08 06:11:18.292956,val_error,13,0.9552333333333334,0.04476666666666662,0.15939244835774105,0.9712000000953674,0.028799999904632556,0.1095437655210495
14,TrialState.COMPLETE,0.026799999713897682,2019-03-08 06:11:18.319632,2019-03-08 06:11:22.389443,relu,32,5,1,2019-03-08 06:11:20.826655,2019-03-08 06:11:22.364602,val_error,14,0.9636333333015442,0.036366666698455785,0.1284702573577563,0.9732000002861023,0.026799999713897682,0.09181424050331116
15,TrialState.COMPLETE,0.07899999942779545,2019-03-08 06:11:22.392427,2019-03-08 06:11:27.865553,linear,64,3,1,2019-03-08 06:11:25.542946,2019-03-08 06:11:27.837363,val_error,15,0.9170666666984558,0.08293333330154418,0.2909779798587163,0.9210000005722045,0.07899999942779545,0.28090973043441775
16,TrialState.COMPLETE,0.022799999332427934,2019-03-08 06:11:27.869780,2019-03-08 06:11:31.683601,relu,32,5,1,2019-03-08 06:11:30.129047,2019-03-08 06:11:31.660801,val_error,16,0.9657499999682109,0.03425000003178913,0.12330880969365438,0.9772000006675721,0.022799999332427934,0.08327785248756409
17,TrialState.COMPLETE,0.02719999990463262,2019-03-08 06:11:31.687066,2019-03-08 06:11:35.431296,relu,32,5,1,2019-03-08 06:11:33.896999,2019-03-08 06:11:35.407071,val_error,17,0.9615,0.03849999999999998,0.13685521893501282,0.9728000000953674,0.02719999990463262,0.09886227879524231
18,TrialState.COMPLETE,0.029499999713897718,2019-03-08 06:11:35.434844,2019-03-08 06:11:39.537087,relu,32,5,1,2019-03-08 06:11:37.953094,2019-03-08 06:11:39.511367,val_error,18,0.9573333333333334,0.04266666666666663,0.15003377838134765,0.9705000002861023,0.029499999713897718,0.10669286496639252
19,TrialState.COMPLETE,0.0268999995231628,2019-03-08 06:11:39.540769,2019-03-08 06:11:43.405505,relu,32,5,1,2019-03-08 06:11:41.807071,2019-03-08 06:11:43.380424,val_error,19,0.9606333333333333,0.03936666666666666,0.13815921565294265,0.9731000004768372,0.0268999995231628,0.09596424806118012
20,TrialState.COMPLETE,0.024799999427795427,2019-03-08 06:11:43.409357,2019-03-08 06:11:47.338982,relu,32,5,1,2019-03-08 06:11:45.700583,2019-03-08 06:11:47.288186,val_error,20,0.9637,0.0363,0.13129564816951753,0.9752000005722046,0.024799999427795427,0.09205976467132568
21,TrialState.COMPLETE,0.030599999713897708,2019-03-08 06:11:47.342494,2019-03-08 06:11:51.307428,relu,32,5,1,2019-03-08 06:11:49.668767,2019-03-08 06:11:51.280941,val_error,21,0.9581833333015441,0.04181666669845585,0.14608424831231434,0.9694000002861023,0.030599999713897708,0.10895478382110596
22,TrialState.COMPLETE,0.027699999904632566,2019-03-08 06:11:51.311614,2019-03-08 06:11:55.285421,relu,32,5,1,2019-03-08 06:11:53.760303,2019-03-08 06:11:55.261621,val_error,22,0.9641333333333333,0.03586666666666671,0.12937122609615326,0.9723000000953674,0.027699999904632566,0.10018549401760102
23,TrialState.COMPLETE,0.026099999523162887,2019-03-08 06:11:55.289476,2019-03-08 06:11:59.106105,relu,32,5,1,2019-03-08 06:11:57.553131,2019-03-08 06:11:59.082637,val_error,23,0.9623666666984558,0.03763333330154417,0.13514444911877313,0.9739000004768371,0.026099999523162887,0.09187952554225921
24,TrialState.COMPLETE,0.07749999933242802,2019-03-08 06:11:59.110397,2019-03-08 06:12:02.598997,linear,32,5,1,2019-03-08 06:12:01.216770,2019-03-08 06:12:02.574098,val_error,24,0.9145666666348775,0.08543333336512249,0.29894641276995343,0.922500000667572,0.07749999933242802,0.2841749908447266
25,TrialState.COMPLETE,0.026799999713897682,2019-03-08 06:12:02.603962,2019-03-08 06:12:08.751941,relu,64,3,1,2019-03-08 06:12:06.048992,2019-03-08 06:12:08.724618,val_error,25,0.9640833333333333,0.03591666666666671,0.12946911776065825,0.9732000002861023,0.026799999713897682,0.09523479783535004
26,TrialState.COMPLETE,0.022699999427795436,2019-03-08 06:12:08.757539,2019-03-08 06:12:12.830393,relu,32,5,1,2019-03-08 06:12:11.314885,2019-03-08 06:12:12.807428,val_error,26,0.9678833333333333,0.03211666666666668,0.1163635949174563,0.9773000005722046,0.022699999427795436,0.08025248606204986
27,TrialState.COMPLETE,0.02569999961853031,2019-03-08 06:12:12.835206,2019-03-08 06:12:16.657160,relu,32,5,1,2019-03-08 06:12:15.118274,2019-03-08 06:12:16.633087,val_error,27,0.9632166666984558,0.03678333330154415,0.13362413502534232,0.9743000003814697,0.02569999961853031,0.0949639104604721
28,TrialState.COMPLETE,0.08070000066757199,2019-03-08 06:12:16.662032,2019-03-08 06:12:21.543929,linear,64,5,1,2019-03-08 06:12:19.457073,2019-03-08 06:12:21.515637,val_error,28,0.9164833333333333,0.08351666666666668,0.2977214703877767,0.919299999332428,0.08070000066757199,0.28092220754623415
29,TrialState.COMPLETE,0.032399999904632604,2019-03-08 06:12:21.549795,2019-03-08 06:12:25.711429,relu,32,3,1,2019-03-08 06:12:23.991858,2019-03-08 06:12:25.686535,val_error,29,0.9509500000317891,0.04904999996821091,0.1720957400918007,0.9676000000953674,0.032399999904632604,0.12882799136638642
30,TrialState.COMPLETE,0.07969999942779538,2019-03-08 06:12:25.716922,2019-03-08 06:12:31.113441,linear,64,5,1,2019-03-08 06:12:28.986199,2019-03-08 06:12:31.086606,val_error,30,0.9167666666348775,0.08323333336512251,0.29557084835370384,0.9203000005722046,0.07969999942779538,0.28453501806259157
31,TrialState.COMPLETE,0.05059999942779536,2019-03-08 06:12:31.119427,2019-03-08 06:12:33.701190,relu,32,5,2,2019-03-08 06:12:32.808305,2019-03-08 06:12:33.677793,val_error,31,0.9308833333015442,0.06911666669845584,0.24403142250378926,0.9494000005722046,0.05059999942779536,0.18405111012458802
32,TrialState.COMPLETE,0.02309999933242801,2019-03-08 06:12:33.706228,2019-03-08 06:12:39.292618,relu,64,5,1,2019-03-08 06:12:36.916045,2019-03-08 06:12:39.265775,val_error,32,0.9700999999682108,0.029900000031789165,0.10843260081211725,0.976900000667572,0.02309999933242801,0.07785331225395202
33,TrialState.COMPLETE,0.07430000057220454,2019-03-08 06:12:39.298968,2019-03-08 06:12:41.698518,relu,32,3,2,2019-03-08 06:12:40.860840,2019-03-08 06:12:41.677753,val_error,33,0.9150000000317892,0.08499999996821084,0.29793308656215667,0.9256999994277955,0.07430000057220454,0.259368789434433
34,TrialState.COMPLETE,0.0796999992370605,2019-03-08 06:12:41.704056,2019-03-08 06:12:44.570597,linear,64,5,2,2019-03-08 06:12:43.586842,2019-03-08 06:12:44.546823,val_error,34,0.91295,0.08704999999999996,0.3054003414710363,0.9203000007629395,0.0796999992370605,0.28901667919158935
35,TrialState.COMPLETE,0.029999999618530282,2019-03-08 06:12:44.576747,2019-03-08 06:12:48.321441,relu,32,5,1,2019-03-08 06:12:46.774689,2019-03-08 06:12:48.297915,val_error,35,0.9609666666984558,0.03903333330154424,0.13909621264537175,0.9700000003814697,0.029999999618530282,0.10413300642967224
36,TrialState.COMPLETE,0.06779999999999997,2019-03-08 06:12:48.327639,2019-03-08 06:12:50.855968,relu,32,3,2,2019-03-08 06:12:49.953083,2019-03-08 06:12:50.833337,val_error,36,0.9202499999682109,0.07975000003178911,0.28111134764353435,0.9322,0.06779999999999997,0.23497112030982972
37,TrialState.COMPLETE,0.027599999999999958,2019-03-08 06:12:50.861690,2019-03-08 06:12:54.827044,relu,32,5,1,2019-03-08 06:12:53.164252,2019-03-08 06:12:54.801205,val_error,37,0.96095,0.03905000000000003,0.1389370225528876,0.9724,0.027599999999999958,0.10069973676204681
38,TrialState.COMPLETE,0.08009999933242795,2019-03-08 06:12:54.833772,2019-03-08 06:13:00.245664,linear,64,3,1,2019-03-08 06:12:57.947650,2019-03-08 06:13:00.245099,val_error,38,0.91735,0.08265,0.2898603473822276,0.919900000667572,0.08009999933242795,0.27833901529312133
